Data e ora,Temp. [°C],Prec. [mm],Data,Ora
01.10.2018 16:00,15.9,0.0,01.10.2018,16:00
01.10.2018 16:10,15.5,0.0,01.10.2018,16:10
01.10.2018 16:20,15.7,0.0,01.10.2018,16:20
01.10.2018 16:30,16.0,0.0,01.10.2018,16:30
01.10.2018 16:40,16.4,0.0,01.10.2018,16:40
01.10.2018 16:50,15.9,0.0,01.10.2018,16:50
01.10.2018 17:00,16.2,0.0,01.10.2018,17:00
01.10.2018 17:10,16.1,0.0,01.10.2018,17:10
01.10.2018 17:20,16.3,0.0,01.10.2018,17:20
01.10.2018 17:30,15.9,0.0,01.10.2018,17:30
01.10.2018 17:40,15.9,0.0,01.10.2018,17:40
01.10.2018 17:50,16.0,0.0,01.10.2018,17:50
01.10.2018 18:00,16.1,0.0,01.10.2018,18:00
01.10.2018 18:10,15.9,0.0,01.10.2018,18:10
01.10.2018 18:20,15.8,0.0,01.10.2018,18:20
01.10.2018 18:30,16.0,0.0,01.10.2018,18:30
01.10.2018 18:40,15.6,0.0,01.10.2018,18:40
01.10.2018 18:50,16.0,0.0,01.10.2018,18:50
01.10.2018 19:00,15.6,0.0,01.10.2018,19:00
01.10.2018 19:10,15.6,0.0,01.10.2018,19:10
01.10.2018 19:20,15.9,0.0,01.10.2018,19:20
01.10.2018 19:30,15.7,0.0,01.10.2018,19:30
01.10.2018 19:40,15.7,0.0,01.10.2018,19:40
01.10.2018 19:50,15.5,0.0,01.10.2018,19:50
01.10.2018 20:00,15.9,0.0,01.10.2018,20:00
01.10.2018 20:10,15.6,0.0,01.10.2018,20:10
01.10.2018 20:20,15.8,0.0,01.10.2018,20:20
01.10.2018 20:30,15.6,0.0,01.10.2018,20:30
01.10.2018 20:40,15.8,0.0,01.10.2018,20:40
01.10.2018 20:50,15.8,0.0,01.10.2018,20:50
01.10.2018 21:00,15.4,0.0,01.10.2018,21:00
01.10.2018 21:10,15.4,0.0,01.10.2018,21:10
01.10.2018 21:20,15.5,0.0,01.10.2018,21:20
01.10.2018 21:30,15.2,0.0,01.10.2018,21:30
01.10.2018 21:40,15.4,0.0,01.10.2018,21:40
01.10.2018 21:50,15.0,0.0,01.10.2018,21:50
01.10.2018 22:00,14.4,0.0,01.10.2018,22:00
01.10.2018 22:10,14.9,0.0,01.10.2018,22:10
01.10.2018 22:20,15.0,0.0,01.10.2018,22:20
01.10.2018 22:30,15.1,0.0,01.10.2018,22:30
01.10.2018 22:40,15.3,0.0,01.10.2018,22:40
01.10.2018 22:50,14.7,0.0,01.10.2018,22:50
01.10.2018 23:00,14.9,0.0,01.10.2018,23:00
01.10.2018 23:10,14.9,0.0,01.10.2018,23:10
01.10.2018 23:20,15.3,0.0,01.10.2018,23:20
01.10.2018 23:30,15.0,0.0,01.10.2018,23:30
01.10.2018 23:40,15.0,0.0,01.10.2018,23:40
01.10.2018 23:50,15.2,0.0,01.10.2018,23:50
02.10.2018 00:00,15.0,0.0,02.10.2018,00:00
02.10.2018 00:10,15.0,0.0,02.10.2018,00:10
02.10.2018 00:20,14.6,0.0,02.10.2018,00:20
02.10.2018 00:30,14.0,0.0,02.10.2018,00:30
02.10.2018 00:40,14.6,0.0,02.10.2018,00:40
02.10.2018 00:50,14.9,0.0,02.10.2018,00:50
02.10.2018 01:00,14.0,0.0,02.10.2018,01:00
02.10.2018 01:10,14.2,0.0,02.10.2018,01:10
02.10.2018 01:20,14.6,0.0,02.10.2018,01:20
02.10.2018 01:30,14.6,0.0,02.10.2018,01:30
02.10.2018 01:40,13.7,0.0,02.10.2018,01:40
02.10.2018 01:50,13.1,0.0,02.10.2018,01:50
02.10.2018 02:00,13.0,0.0,02.10.2018,02:00
02.10.2018 02:10,12.8,0.0,02.10.2018,02:10
02.10.2018 02:20,13.0,0.0,02.10.2018,02:20
02.10.2018 02:30,12.5,0.0,02.10.2018,02:30
02.10.2018 02:40,12.9,0.0,02.10.2018,02:40
02.10.2018 02:50,12.4,0.0,02.10.2018,02:50
02.10.2018 03:00,12.3,0.0,02.10.2018,03:00
02.10.2018 03:10,11.6,0.0,02.10.2018,03:10
02.10.2018 03:20,11.4,0.0,02.10.2018,03:20
02.10.2018 03:30,11.2,0.0,02.10.2018,03:30
02.10.2018 03:40,11.1,0.0,02.10.2018,03:40
02.10.2018 03:50,11.4,0.0,02.10.2018,03:50
02.10.2018 04:00,11.5,0.0,02.10.2018,04:00
02.10.2018 04:10,11.6,0.0,02.10.2018,04:10
02.10.2018 04:20,11.3,0.0,02.10.2018,04:20
02.10.2018 04:30,11.2,0.0,02.10.2018,04:30
02.10.2018 04:40,11.5,0.0,02.10.2018,04:40
02.10.2018 04:50,10.9,0.0,02.10.2018,04:50
02.10.2018 05:00,10.7,0.0,02.10.2018,05:00
02.10.2018 05:10,10.3,0.0,02.10.2018,05:10
02.10.2018 05:20,10.9,0.0,02.10.2018,05:20
02.10.2018 05:30,11.1,0.0,02.10.2018,05:30
02.10.2018 05:40,11.0,0.0,02.10.2018,05:40
02.10.2018 05:50,11.0,0.0,02.10.2018,05:50
02.10.2018 06:00,10.8,0.0,02.10.2018,06:00
02.10.2018 06:10,10.8,0.0,02.10.2018,06:10
02.10.2018 06:20,11.5,0.0,02.10.2018,06:20
02.10.2018 06:30,12.0,0.0,02.10.2018,06:30
02.10.2018 06:40,12.4,0.0,02.10.2018,06:40
02.10.2018 06:50,12.2,0.0,02.10.2018,06:50
02.10.2018 07:00,12.9,0.0,02.10.2018,07:00
02.10.2018 07:10,12.9,0.0,02.10.2018,07:10
02.10.2018 07:20,13.2,0.0,02.10.2018,07:20
02.10.2018 07:30,13.5,0.0,02.10.2018,07:30
02.10.2018 07:40,14.4,0.0,02.10.2018,07:40
02.10.2018 07:50,14.5,0.0,02.10.2018,07:50
02.10.2018 08:00,14.9,0.0,02.10.2018,08:00
02.10.2018 08:10,15.4,0.0,02.10.2018,08:10
02.10.2018 08:20,15.4,0.0,02.10.2018,08:20
02.10.2018 08:30,16.0,0.0,02.10.2018,08:30
02.10.2018 08:40,16.5,0.0,02.10.2018,08:40
02.10.2018 08:50,16.5,0.0,02.10.2018,08:50
02.10.2018 09:00,16.6,0.0,02.10.2018,09:00
02.10.2018 09:10,16.9,0.0,02.10.2018,09:10
02.10.2018 09:20,17.1,0.0,02.10.2018,09:20
02.10.2018 09:30,16.9,0.0,02.10.2018,09:30
02.10.2018 09:40,17.3,0.0,02.10.2018,09:40
02.10.2018 09:50,17.3,0.0,02.10.2018,09:50
02.10.2018 10:00,17.0,0.0,02.10.2018,10:00
02.10.2018 10:10,17.6,0.0,02.10.2018,10:10
02.10.2018 10:20,17.4,0.0,02.10.2018,10:20
02.10.2018 10:30,17.8,0.0,02.10.2018,10:30
02.10.2018 10:40,18.2,0.0,02.10.2018,10:40
02.10.2018 10:50,17.7,0.0,02.10.2018,10:50
02.10.2018 11:00,18.3,0.0,02.10.2018,11:00
02.10.2018 11:10,19.1,0.0,02.10.2018,11:10
02.10.2018 11:20,18.7,0.0,02.10.2018,11:20
02.10.2018 11:30,18.9,0.0,02.10.2018,11:30
02.10.2018 11:40,18.9,0.0,02.10.2018,11:40
02.10.2018 11:50,18.8,0.0,02.10.2018,11:50
02.10.2018 12:00,18.9,0.0,02.10.2018,12:00
02.10.2018 12:10,19.2,0.0,02.10.2018,12:10
02.10.2018 12:20,19.1,0.0,02.10.2018,12:20
02.10.2018 12:30,19.0,0.0,02.10.2018,12:30
02.10.2018 12:40,18.7,0.0,02.10.2018,12:40
02.10.2018 12:50,18.6,0.0,02.10.2018,12:50
02.10.2018 13:00,18.4,0.0,02.10.2018,13:00
02.10.2018 13:10,18.8,0.0,02.10.2018,13:10
02.10.2018 13:20,19.3,0.0,02.10.2018,13:20
02.10.2018 13:30,19.2,0.0,02.10.2018,13:30
02.10.2018 13:40,19.3,0.0,02.10.2018,13:40
02.10.2018 13:50,19.2,0.0,02.10.2018,13:50
02.10.2018 14:00,19.2,0.0,02.10.2018,14:00
02.10.2018 14:10,19.1,0.0,02.10.2018,14:10
02.10.2018 14:20,19.2,0.0,02.10.2018,14:20
02.10.2018 14:30,19.0,0.0,02.10.2018,14:30
02.10.2018 14:40,19.1,0.0,02.10.2018,14:40
02.10.2018 14:50,19.1,0.0,02.10.2018,14:50
02.10.2018 15:00,19.0,0.0,02.10.2018,15:00
02.10.2018 15:10,19.0,0.0,02.10.2018,15:10
02.10.2018 15:20,18.8,0.0,02.10.2018,15:20
02.10.2018 15:30,18.7,0.0,02.10.2018,15:30
02.10.2018 15:40,18.7,0.0,02.10.2018,15:40
02.10.2018 15:50,18.6,0.0,02.10.2018,15:50
02.10.2018 16:00,18.8,0.0,02.10.2018,16:00
02.10.2018 16:10,18.5,0.0,02.10.2018,16:10
02.10.2018 16:20,18.4,0.0,02.10.2018,16:20
02.10.2018 16:30,18.3,0.0,02.10.2018,16:30
02.10.2018 16:40,18.0,0.0,02.10.2018,16:40
02.10.2018 16:50,17.8,0.0,02.10.2018,16:50
02.10.2018 17:00,17.8,0.0,02.10.2018,17:00
02.10.2018 17:10,17.1,0.0,02.10.2018,17:10
02.10.2018 17:20,16.1,0.0,02.10.2018,17:20
02.10.2018 17:30,15.4,0.0,02.10.2018,17:30
02.10.2018 17:40,15.2,0.0,02.10.2018,17:40
02.10.2018 17:50,15.2,0.0,02.10.2018,17:50
02.10.2018 18:00,15.1,0.0,02.10.2018,18:00
02.10.2018 18:10,14.8,0.0,02.10.2018,18:10
02.10.2018 18:20,14.9,0.0,02.10.2018,18:20
02.10.2018 18:30,14.3,0.0,02.10.2018,18:30
02.10.2018 18:40,14.3,0.0,02.10.2018,18:40
02.10.2018 18:50,14.3,0.0,02.10.2018,18:50
02.10.2018 19:00,14.3,0.0,02.10.2018,19:00
02.10.2018 19:10,14.3,0.0,02.10.2018,19:10
02.10.2018 19:20,13.9,0.0,02.10.2018,19:20
02.10.2018 19:30,13.9,0.0,02.10.2018,19:30
02.10.2018 19:40,13.8,0.0,02.10.2018,19:40
02.10.2018 19:50,13.8,0.0,02.10.2018,19:50
02.10.2018 20:00,13.7,0.0,02.10.2018,20:00
02.10.2018 20:10,13.4,0.0,02.10.2018,20:10
02.10.2018 20:20,13.4,0.0,02.10.2018,20:20
02.10.2018 20:30,13.4,0.0,02.10.2018,20:30
02.10.2018 20:40,13.6,0.0,02.10.2018,20:40
02.10.2018 20:50,13.3,0.0,02.10.2018,20:50
02.10.2018 21:00,13.2,0.0,02.10.2018,21:00
02.10.2018 21:10,13.2,0.0,02.10.2018,21:10
02.10.2018 21:20,13.4,0.0,02.10.2018,21:20
02.10.2018 21:30,13.1,0.0,02.10.2018,21:30
02.10.2018 21:40,12.8,0.0,02.10.2018,21:40
02.10.2018 21:50,12.8,0.0,02.10.2018,21:50
02.10.2018 22:00,12.8,0.0,02.10.2018,22:00
02.10.2018 22:10,12.7,0.0,02.10.2018,22:10
02.10.2018 22:20,12.8,0.0,02.10.2018,22:20
02.10.2018 22:30,12.4,0.0,02.10.2018,22:30
02.10.2018 22:40,12.2,0.0,02.10.2018,22:40
02.10.2018 22:50,12.2,0.0,02.10.2018,22:50
02.10.2018 23:00,12.1,0.0,02.10.2018,23:00
02.10.2018 23:10,11.9,0.0,02.10.2018,23:10
02.10.2018 23:20,11.9,0.0,02.10.2018,23:20
02.10.2018 23:30,11.5,0.0,02.10.2018,23:30
02.10.2018 23:40,11.3,0.0,02.10.2018,23:40
02.10.2018 23:50,11.0,0.0,02.10.2018,23:50
03.10.2018 00:00,10.4,0.0,03.10.2018,00:00
03.10.2018 00:10,10.4,0.0,03.10.2018,00:10
03.10.2018 00:20,11.2,0.0,03.10.2018,00:20
03.10.2018 00:30,11.1,0.0,03.10.2018,00:30
03.10.2018 00:40,10.8,0.0,03.10.2018,00:40
03.10.2018 00:50,10.9,0.0,03.10.2018,00:50
03.10.2018 01:00,10.9,0.0,03.10.2018,01:00
03.10.2018 01:10,10.7,0.0,03.10.2018,01:10
03.10.2018 01:20,11.1,0.0,03.10.2018,01:20
03.10.2018 01:30,10.6,0.0,03.10.2018,01:30
03.10.2018 01:40,10.2,0.0,03.10.2018,01:40
03.10.2018 01:50,10.5,0.0,03.10.2018,01:50
03.10.2018 02:00,10.4,0.0,03.10.2018,02:00
03.10.2018 02:10,10.5,0.0,03.10.2018,02:10
03.10.2018 02:20,10.2,0.0,03.10.2018,02:20
03.10.2018 02:30,10.1,0.0,03.10.2018,02:30
03.10.2018 02:40,10.2,0.0,03.10.2018,02:40
03.10.2018 02:50,10.0,0.0,03.10.2018,02:50
03.10.2018 03:00,9.9,0.0,03.10.2018,03:00
03.10.2018 03:10,10.0,0.0,03.10.2018,03:10
03.10.2018 03:20,10.0,0.0,03.10.2018,03:20
03.10.2018 03:30,10.0,0.0,03.10.2018,03:30
03.10.2018 03:40,10.2,0.0,03.10.2018,03:40
03.10.2018 03:50,9.9,0.0,03.10.2018,03:50
03.10.2018 04:00,9.7,0.0,03.10.2018,04:00
03.10.2018 04:10,9.9,0.0,03.10.2018,04:10
03.10.2018 04:20,9.9,0.0,03.10.2018,04:20
03.10.2018 04:30,9.8,0.0,03.10.2018,04:30
03.10.2018 04:40,9.7,0.0,03.10.2018,04:40
03.10.2018 04:50,9.9,0.0,03.10.2018,04:50
03.10.2018 05:00,9.8,0.0,03.10.2018,05:00
03.10.2018 05:10,9.8,0.0,03.10.2018,05:10
03.10.2018 05:20,9.4,0.0,03.10.2018,05:20
03.10.2018 05:30,9.5,0.0,03.10.2018,05:30
03.10.2018 05:40,9.4,0.0,03.10.2018,05:40
03.10.2018 05:50,9.9,0.0,03.10.2018,05:50
03.10.2018 06:00,10.0,0.0,03.10.2018,06:00
03.10.2018 06:10,9.6,0.0,03.10.2018,06:10
03.10.2018 06:20,10.4,0.0,03.10.2018,06:20
03.10.2018 06:30,10.5,0.0,03.10.2018,06:30
03.10.2018 06:40,10.6,0.0,03.10.2018,06:40
03.10.2018 06:50,11.1,0.0,03.10.2018,06:50
03.10.2018 07:00,10.9,0.0,03.10.2018,07:00
03.10.2018 07:10,11.3,0.0,03.10.2018,07:10
03.10.2018 07:20,11.7,0.0,03.10.2018,07:20
03.10.2018 07:30,12.2,0.0,03.10.2018,07:30
03.10.2018 07:40,12.4,0.0,03.10.2018,07:40
03.10.2018 07:50,12.7,0.0,03.10.2018,07:50
03.10.2018 08:00,13.2,0.0,03.10.2018,08:00
03.10.2018 08:10,13.5,0.0,03.10.2018,08:10
03.10.2018 08:20,13.7,0.0,03.10.2018,08:20
03.10.2018 08:30,13.7,0.0,03.10.2018,08:30
03.10.2018 08:40,13.9,0.0,03.10.2018,08:40
03.10.2018 08:50,14.2,0.0,03.10.2018,08:50
03.10.2018 09:00,14.4,0.0,03.10.2018,09:00
03.10.2018 09:10,14.5,0.0,03.10.2018,09:10
03.10.2018 09:20,15.1,0.0,03.10.2018,09:20
03.10.2018 09:30,15.1,0.0,03.10.2018,09:30
03.10.2018 09:40,15.4,0.0,03.10.2018,09:40
03.10.2018 09:50,15.7,0.0,03.10.2018,09:50
03.10.2018 10:00,15.9,0.0,03.10.2018,10:00
03.10.2018 10:10,16.0,0.0,03.10.2018,10:10
03.10.2018 10:20,16.6,0.0,03.10.2018,10:20
03.10.2018 10:30,16.6,0.0,03.10.2018,10:30
03.10.2018 10:40,17.0,0.0,03.10.2018,10:40
03.10.2018 10:50,17.1,0.0,03.10.2018,10:50
03.10.2018 11:00,17.7,0.0,03.10.2018,11:00
03.10.2018 11:10,17.6,0.0,03.10.2018,11:10
03.10.2018 11:20,18.1,0.0,03.10.2018,11:20
03.10.2018 11:30,19.0,0.0,03.10.2018,11:30
03.10.2018 11:40,18.6,0.0,03.10.2018,11:40
03.10.2018 11:50,19.0,0.0,03.10.2018,11:50
03.10.2018 12:00,19.7,0.0,03.10.2018,12:00
03.10.2018 12:10,19.9,0.0,03.10.2018,12:10
03.10.2018 12:20,20.3,0.0,03.10.2018,12:20
03.10.2018 12:30,20.2,0.0,03.10.2018,12:30
03.10.2018 12:40,19.8,0.0,03.10.2018,12:40
03.10.2018 12:50,20.9,0.0,03.10.2018,12:50
03.10.2018 13:00,20.4,0.0,03.10.2018,13:00
03.10.2018 13:10,21.0,0.0,03.10.2018,13:10
03.10.2018 13:20,21.5,0.0,03.10.2018,13:20
03.10.2018 13:30,21.5,0.0,03.10.2018,13:30
03.10.2018 13:40,21.3,0.0,03.10.2018,13:40
03.10.2018 13:50,21.1,0.0,03.10.2018,13:50
03.10.2018 14:00,21.1,0.0,03.10.2018,14:00
03.10.2018 14:10,20.9,0.0,03.10.2018,14:10
03.10.2018 14:20,21.0,0.0,03.10.2018,14:20
03.10.2018 14:30,20.8,0.0,03.10.2018,14:30
03.10.2018 14:40,20.8,0.0,03.10.2018,14:40
03.10.2018 14:50,20.8,0.0,03.10.2018,14:50
03.10.2018 15:00,20.8,0.0,03.10.2018,15:00
03.10.2018 15:10,20.8,0.0,03.10.2018,15:10
03.10.2018 15:20,20.8,0.0,03.10.2018,15:20
03.10.2018 15:30,20.6,0.0,03.10.2018,15:30
03.10.2018 15:40,20.3,0.0,03.10.2018,15:40
03.10.2018 15:50,20.5,0.0,03.10.2018,15:50
03.10.2018 16:00,20.3,0.0,03.10.2018,16:00
03.10.2018 16:10,20.4,0.0,03.10.2018,16:10
03.10.2018 16:20,20.3,0.0,03.10.2018,16:20
03.10.2018 16:30,20.2,0.0,03.10.2018,16:30
03.10.2018 16:40,19.9,0.0,03.10.2018,16:40
03.10.2018 16:50,19.2,0.0,03.10.2018,16:50
03.10.2018 17:00,18.6,0.0,03.10.2018,17:00
03.10.2018 17:10,18.7,0.0,03.10.2018,17:10
03.10.2018 17:20,17.9,0.0,03.10.2018,17:20
03.10.2018 17:30,17.5,0.0,03.10.2018,17:30
03.10.2018 17:40,17.3,0.0,03.10.2018,17:40
03.10.2018 17:50,17.1,0.0,03.10.2018,17:50
03.10.2018 18:00,16.9,0.0,03.10.2018,18:00
03.10.2018 18:10,16.3,0.0,03.10.2018,18:10
03.10.2018 18:20,16.4,0.0,03.10.2018,18:20
03.10.2018 18:30,15.8,0.0,03.10.2018,18:30
03.10.2018 18:40,15.6,0.0,03.10.2018,18:40
03.10.2018 18:50,15.7,0.0,03.10.2018,18:50
03.10.2018 19:00,15.6,0.0,03.10.2018,19:00
03.10.2018 19:10,15.2,0.0,03.10.2018,19:10
03.10.2018 19:20,15.7,0.0,03.10.2018,19:20
03.10.2018 19:30,15.5,0.0,03.10.2018,19:30
03.10.2018 19:40,15.0,0.0,03.10.2018,19:40
03.10.2018 19:50,15.2,0.0,03.10.2018,19:50
03.10.2018 20:00,15.0,0.0,03.10.2018,20:00
03.10.2018 20:10,14.6,0.0,03.10.2018,20:10
03.10.2018 20:20,14.7,0.0,03.10.2018,20:20
03.10.2018 20:30,14.5,0.0,03.10.2018,20:30
03.10.2018 20:40,14.2,0.0,03.10.2018,20:40
03.10.2018 20:50,14.2,0.0,03.10.2018,20:50
03.10.2018 21:00,13.9,0.0,03.10.2018,21:00
03.10.2018 21:10,13.9,0.0,03.10.2018,21:10
03.10.2018 21:20,13.8,0.0,03.10.2018,21:20
03.10.2018 21:30,13.7,0.0,03.10.2018,21:30
03.10.2018 21:40,13.6,0.0,03.10.2018,21:40
03.10.2018 21:50,13.7,0.0,03.10.2018,21:50
03.10.2018 22:00,13.4,0.0,03.10.2018,22:00
03.10.2018 22:10,13.4,0.0,03.10.2018,22:10
03.10.2018 22:20,13.2,0.0,03.10.2018,22:20
03.10.2018 22:30,13.4,0.0,03.10.2018,22:30
03.10.2018 22:40,13.2,0.0,03.10.2018,22:40
03.10.2018 22:50,13.0,0.0,03.10.2018,22:50
03.10.2018 23:00,13.1,0.0,03.10.2018,23:00
03.10.2018 23:10,12.7,0.0,03.10.2018,23:10
03.10.2018 23:20,12.5,0.0,03.10.2018,23:20
03.10.2018 23:30,12.8,0.0,03.10.2018,23:30
03.10.2018 23:40,12.6,0.0,03.10.2018,23:40
03.10.2018 23:50,12.6,0.0,03.10.2018,23:50
04.10.2018 00:00,12.7,0.0,04.10.2018,00:00
04.10.2018 00:10,12.6,0.0,04.10.2018,00:10
04.10.2018 00:20,12.3,0.0,04.10.2018,00:20
04.10.2018 00:30,12.6,0.0,04.10.2018,00:30
04.10.2018 00:40,12.5,0.0,04.10.2018,00:40
04.10.2018 00:50,12.3,0.0,04.10.2018,00:50
04.10.2018 01:00,12.2,0.0,04.10.2018,01:00
04.10.2018 01:10,12.4,0.0,04.10.2018,01:10
04.10.2018 01:20,12.3,0.0,04.10.2018,01:20
04.10.2018 01:30,11.9,0.0,04.10.2018,01:30
04.10.2018 01:40,12.0,0.0,04.10.2018,01:40
04.10.2018 01:50,11.8,0.0,04.10.2018,01:50
04.10.2018 02:00,12.1,0.0,04.10.2018,02:00
04.10.2018 02:10,12.2,0.0,04.10.2018,02:10
04.10.2018 02:20,12.0,0.0,04.10.2018,02:20
04.10.2018 02:30,11.8,0.0,04.10.2018,02:30
04.10.2018 02:40,12.1,0.0,04.10.2018,02:40
04.10.2018 02:50,12.0,0.0,04.10.2018,02:50
04.10.2018 03:00,11.7,0.0,04.10.2018,03:00
04.10.2018 03:10,11.9,0.0,04.10.2018,03:10
04.10.2018 03:20,11.5,0.0,04.10.2018,03:20
04.10.2018 03:30,11.9,0.0,04.10.2018,03:30
04.10.2018 03:40,11.5,0.0,04.10.2018,03:40
04.10.2018 03:50,11.6,0.0,04.10.2018,03:50
04.10.2018 04:00,11.3,0.0,04.10.2018,04:00
04.10.2018 04:10,11.5,0.0,04.10.2018,04:10
04.10.2018 04:20,11.7,0.0,04.10.2018,04:20
04.10.2018 04:30,11.3,0.0,04.10.2018,04:30
04.10.2018 04:40,11.4,0.0,04.10.2018,04:40
04.10.2018 04:50,11.3,0.0,04.10.2018,04:50
04.10.2018 05:00,11.6,0.0,04.10.2018,05:00
04.10.2018 05:10,11.5,0.0,04.10.2018,05:10
